antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'eatery'}),frozenset({'amenity__restaurant'}),0.019290123456790122,0.1111111111111111,0.019290123456790122,1.0,9.0,1.0,0.017146776406035666,inf,0.906372934697089,0.1736111111111111,1.0,0.5868055555555556
frozenset({'tailor'}),frozenset({'shop__tailor'}),0.044753086419753084,0.12962962962962962,0.044753086419753084,1.0,7.714285714285714,1.0,0.03895176040237768,inf,0.911147011308562,0.34523809523809523,1.0,0.6726190476190477
"frozenset({'tailor', 'main'})",frozenset({'shop__tailor'}),0.008487654320987654,0.12962962962962962,0.008487654320987654,1.0,7.714285714285714,1.0,0.007387402834933699,inf,0.8778210116731519,0.06547619047619048,1.0,0.5327380952380952
frozenset({'tailor'}),"frozenset({'shop__tailor', 'main'})",0.044753086419753084,0.033950617283950615,0.008487654320987654,0.1896551724137931,5.586206896551724,1.0,0.006968259411675049,1.192146046755976,0.8594507269789984,0.12087912087912088,0.1611766001983034,0.21982758620689655
"frozenset({'tailor', 'shop'})",frozenset({'shop__tailor'}),0.031635802469135804,0.12962962962962962,0.031635802469135804,1.0,7.714285714285714,1.0,0.02753486511202561,inf,0.8988047808764941,0.24404761904761907,1.0,0.6220238095238095
frozenset({'tailor'}),"frozenset({'shop__tailor', 'shop'})",0.044753086419753084,0.031635802469135804,0.031635802469135804,0.706896551724138,22.344827586206897,1.0,0.03022000266727633,3.3038307915758907,1.0,0.7068965517241379,0.6973210605852453,0.853448275862069
frozenset({'shop'}),"frozenset({'shop__tailor', 'tailor'})",0.08796296296296297,0.044753086419753084,0.031635802469135804,0.35964912280701755,8.036297640653357,1.0,0.027699188385916784,1.4917554540842213,0.9600099046675747,0.31297709923664124,0.3296488393844061,0.5332728372655777
"frozenset({'open', 'tailor'})",frozenset({'shop__tailor'}),0.005401234567901234,0.12962962962962962,0.005401234567901234,1.0,7.714285714285714,1.0,0.004701074531321445,inf,0.8750969743987587,0.041666666666666664,1.0,0.5208333333333334
frozenset({'tailor'}),"frozenset({'open', 'shop__tailor'})",0.044753086419753084,0.010802469135802469,0.005401234567901234,0.1206896551724138,11.17241379310345,1.0,0.004917790733119951,1.1249697409828128,0.9531502423263327,0.10769230769230768,0.11108720210877401,0.3103448275862069
"frozenset({'open', 'tailor', 'shop'})",frozenset({'shop__tailor'}),0.005401234567901234,0.12962962962962962,0.005401234567901234,1.0,7.714285714285714,1.0,0.004701074531321445,inf,0.8750969743987587,0.041666666666666664,1.0,0.5208333333333334
"frozenset({'open', 'tailor'})","frozenset({'shop__tailor', 'shop'})",0.005401234567901234,0.031635802469135804,0.005401234567901234,1.0,31.609756097560975,1.0,0.005230362178021643,inf,0.9736229635376261,0.17073170731707316,1.0,0.5853658536585366
"frozenset({'open', 'shop'})","frozenset({'shop__tailor', 'tailor'})",0.012345679012345678,0.044753086419753084,0.005401234567901234,0.4375,9.775862068965518,1.0,0.004848727328151196,1.6982167352537723,0.9089285714285714,0.10447761194029852,0.41114701130856224,0.2790948275862069
